teamAbbr,teamDiv,playStat,playPos,playHeight,playWeight,playPF
BOS,Atlantic,Starter,F,79,222,5
BOS,Atlantic,Starter,PG,75,191,4
BOS,Atlantic,Starter,SF,80,205,4
BOS,Atlantic,Starter,C,82,245,2
BOS,Atlantic,Starter,SF,81,207,1
BOS,Atlantic,Bench,PG,76,220,2
BOS,Atlantic,Bench,PG,73,190,0
BOS,Atlantic,Bench,C,82,260,5
BOS,Atlantic,Bench,PF,79,235,1
BOS,Atlantic,Bench,PG,71,176,0
CLE,Central,Starter,SF,80,240,3
CLE,Central,Starter,SF,78,235,2
CLE,Central,Starter,PG,75,190,2
CLE,Central,Starter,SG,76,212,1
CLE,Central,Starter,PF,82,271,2
CLE,Central,Bench,SG,78,220,4
CLE,Central,Bench,C,80,225,3
CLE,Central,Bench,SF,81,235,3
CLE,Central,Bench,SG,77,220,3
CLE,Central,Bench,SG,79,210,2
HOU,Southwest,Starter,F,80,200,2
HOU,Southwest,Starter,SG,77,218,2
HOU,Southwest,Starter,PF,82,240,3
HOU,Southwest,Starter,PG,72,175,4
HOU,Southwest,Starter,C,82,245,0
HOU,Southwest,Bench,SG,75,220,1
HOU,Southwest,Bench,SF,77,225,3
HOU,Southwest,Bench,PF,80,232,1
GS,Pacific,Starter,SG,79,205,0
GS,Pacific,Starter,SF,81,225,4
GS,Pacific,Starter,PG,75,185,4
GS,Pacific,Starter,PF,79,230,3
GS,Pacific,Starter,C,83,240,1
GS,Pacific,Bench,SG,79,210,4
GS,Pacific,Bench,G,79,185,1
GS,Pacific,Bench,PG,79,182,2
GS,Pacific,Bench,PF,81,225,4
GS,Pacific,Bench,PF,81,240,0
GS,Pacific,Bench,SF,81,222,2
GS,Pacific,Bench,SF,79,225,0
CHA,Southeast,Starter,PG,73,172,1
CHA,Southeast,Starter,C,83,265,2
CHA,Southeast,Starter,SG,77,185,2
CHA,Southeast,Starter,PF,81,230,2
CHA,Southeast,Starter,SG,79,221,1
CHA,Southeast,Bench,PF,84,240,2
