SKPUCOCOQQoDET,UIUSCHVXYLoDET,QFTDITGKRAoDET,ESVDHWMLZSoDET,HNAZOMJLTHoDET,IUIQEPBEDZoDET,LIITHIJNWUoDET
`team_abbr`,`team_div`,`play_stat`,`play_pos`,`play_height`,`play_weight`,`play_PF`
GS,Atlantic,Starter,G,78,207,5
GS,Atlantic,Starter,PF,75,275,4
GS,Atlantic,Starter,SF,80,185,4
GS,Atlantic,Starter,C,82,245,2
GS,Atlantic,Starter,SF,81,212,1
GS,Atlantic,Bench,PF,77,199,2
GS,Atlantic,Bench,PF,73,149,0
GS,Atlantic,Bench,C,82,195,5
GS,Atlantic,Bench,PG,78,240,1
GS,Atlantic,Bench,PF,69,187,0
LAL,Southeast,Starter,SF,80,220,3
LAL,Southeast,Starter,SF,79,240,2
LAL,Southeast,Starter,PF,75,149,2
LAL,Southeast,Starter,SG,77,260,1
LAL,Southeast,Starter,PG,82,226,2
LAL,Southeast,Bench,SG,79,199,4
LAL,Southeast,Bench,C,80,190,3
LAL,Southeast,Bench,SF,81,240,3
LAL,Southeast,Bench,SG,76,199,3
LAL,Southeast,Bench,SG,78,251,2
DEN,Central,Starter,G,80,210,2
DEN,Central,Starter,SG,76,250,2
DEN,Central,Starter,PG,82,220,3
DEN,Central,Starter,PF,74,205,4
DEN,Central,Starter,C,82,245,0
DEN,Central,Bench,SG,75,199,1
DEN,Central,Bench,SF,76,190,3
DEN,Central,Bench,PG,80,280,1
SA,Southwest,Starter,SG,78,185,0
SA,Southwest,Starter,SF,81,190,4
SA,Southwest,Starter,PF,75,225,4
SA,Southwest,Starter,PG,78,215,3
SA,Southwest,Starter,C,83,220,1
SA,Southwest,Bench,SG,78,251,4
SA,Southwest,Bench,F,78,225,1
SA,Southwest,Bench,PF,78,213,2
SA,Southwest,Bench,PG,81,190,4
SA,Southwest,Bench,PG,81,220,0
SA,Southwest,Bench,SF,81,207,2
SA,Southwest,Bench,SF,78,190,0
MIN,Northwest,Starter,PF,73,270,1
MIN,Northwest,Starter,C,83,204,2
MIN,Northwest,Starter,SG,76,225,2
MIN,Northwest,Starter,PG,81,215,2
MIN,Northwest,Starter,SG,78,239,1
MIN,Northwest,Bench,PG,84,220,2
MIN,Northwest,Bench,PG,85,220,0
MIN,Northwest,Bench,SG,75,210,1
MIN,Northwest,Bench,SG,79,199,1
MIN,Northwest,Bench,PF,79,210,3
POR,Southeast,Starter,SF,78,246,1
POR,Southeast,Starter,SF,80,203,3
POR,Southeast,Starter,PF,75,202,2
POR,Southeast,Starter,PF,72,235,4
POR,Southeast,Starter,C,83,197,3
POR,Southeast,Bench,SG,72,194,0
POR,Southeast,Bench,PF,74,205,4
POR,Southeast,Bench,PG,82,265,0
POR,Southeast,Bench,G,83,246,2
POR,Southeast,Bench,PG,82,250,2
WAS,Atlantic,Starter,PF,76,209,4
WAS,Atlantic,Starter,SF,80,260,2
WAS,Atlantic,Starter,SF,78,199,3
WAS,Atlantic,Starter,PF,75,210,3
WAS,Atlantic,Starter,C,85,249,1
WAS,Atlantic,Bench,PG,78,220,2
WAS,Atlantic,Bench,SG,78,275,3
WAS,Atlantic,Bench,SG,79,170,2
WAS,Atlantic,Bench,PF,79,210,2
WAS,Atlantic,Bench,SF,78,240,3
UTA,Southeast,Starter,PG,84,222,3
UTA,Southeast,Starter,PG,80,199,3
UTA,Southeast,Starter,PF,74,227,1
UTA,Southeast,Starter,SF,80,175,2
UTA,Southeast,Starter,SG,77,200,5
UTA,Southeast,Bench,PF,75,225,1
UTA,Southeast,Bench,SG,76,251,3
UTA,Southeast,Bench,PG,83,220,3
UTA,Southeast,Bench,SG,79,190,1
UTA,Southeast,Bench,PG,82,190,3
NO,Northwest,Starter,SG,77,239,1
NO,Northwest,Starter,C,84,240,1
NO,Northwest,Starter,SG,79,210,3
NO,Northwest,Starter,PF,77,235,0
NO,Northwest,Starter,C,84,248,4
NO,Northwest,Bench,SF,79,207,2
NO,Northwest,Bench,SG,77,182,2
NO,Northwest,Bench,PG,81,245,5
NO,Northwest,Bench,SG,77,210,0
NO,Northwest,Bench,PG,82,255,2
IND,Northwest,Starter,SG,78,216,0
IND,Northwest,Starter,PG,81,190,4
IND,Northwest,Starter,C,82,195,1
IND,Northwest,Starter,PF,77,225,2
IND,Northwest,Starter,SG,79,149,0
IND,Northwest,Bench,SF,79,180,4
IND,Northwest,Bench,SF,82,251,3
IND,Northwest,Bench,PF,74,235,1
IND,Northwest,Bench,C,81,245,3
MIA,Atlantic,Starter,PF,82,220,3
MIA,Atlantic,Starter,SG,77,149,4
MIA,Atlantic,Starter,SF,81,200,4
MIA,Atlantic,Starter,PF,75,241,4
MIA,Atlantic,Starter,C,84,255,2
MIA,Atlantic,Bench,SF,82,223,3
MIA,Atlantic,Bench,SG,78,210,2
MIA,Atlantic,Bench,PF,77,180,0
MIA,Atlantic,Bench,PF,72,210,0
MIA,Atlantic,Bench,PG,81,251,6
TOR,Northwest,Starter,PF,77,180,2
TOR,Northwest,Starter,SG,76,194,2
TOR,Northwest,Starter,C,84,220,3
TOR,Northwest,Starter,SF,80,224,3
TOR,Northwest,Starter,PG,84,220,1
TOR,Northwest,Bench,SF,78,188,2
TOR,Northwest,Bench,SG,77,202,0
TOR,Northwest,Bench,PG,80,228,0
TOR,Northwest,Bench,C,82,215,4
TOR,Northwest,Bench,PF,73,206,3
CHA,Southeast,Starter,SF,78,200,4
CHA,Southeast,Starter,PF,79,223,2
CHA,Southeast,Starter,SF,82,185,4
CHA,Southeast,Starter,SG,78,210,4
CHA,Southeast,Starter,PG,85,175,1
CHA,Southeast,Bench,PF,77,149,2
CHA,Southeast,Bench,PG,83,199,2
CHA,Southeast,Bench,C,83,172,3
CHA,Southeast,Bench,PG,81,230,0
CHA,Southeast,Bench,SG,76,241,0
GS,Atlantic,Starter,PF,75,275,1
GS,Atlantic,Starter,SF,80,185,3
GS,Atlantic,Starter,C,82,245,3
GS,Atlantic,Starter,PF,77,199,4
GS,Atlantic,Starter,G,78,207,6
