VVYTLATQQGoOPE,GXLBYDZWTKoOPE,WAXMBJEDEXoOPE,KTSZKIWEWYoOPE,LVSCZKQPEKoOPE,IZIZAQEMKXoOPE,KRINPPWRHFoOPE
`team_abbr`,`team_div`,`play_stat`,`play_pos`,`play_height`,`play_weight`,`play_PF`
BOS,Central,Starter,F,79,225,5
BOS,Central,Starter,PG,75,191,4
BOS,Central,Starter,SF,80,207,4
BOS,Central,Starter,C,82,246,2
BOS,Central,Starter,SF,81,209,1
BOS,Central,Bench,PG,76,223,2
BOS,Central,Bench,PG,73,190,0
BOS,Central,Bench,C,82,262,5
BOS,Central,Bench,PF,79,238,1
BOS,Central,Bench,PG,71,176,0
CLE,Northwest,Starter,SF,80,242,3
CLE,Northwest,Starter,SF,78,238,2
CLE,Northwest,Starter,PG,75,190,2
CLE,Northwest,Starter,SG,76,213,1
CLE,Northwest,Starter,PF,82,275,2
CLE,Northwest,Bench,SG,78,223,4
CLE,Northwest,Bench,C,80,228,3
CLE,Northwest,Bench,SF,81,238,3
CLE,Northwest,Bench,SG,77,223,3
CLE,Northwest,Bench,SG,79,212,2
HOU,Southwest,Starter,F,80,200,2
HOU,Southwest,Starter,SG,77,221,2
HOU,Southwest,Starter,PF,82,242,3
HOU,Southwest,Starter,PG,72,175,4
HOU,Southwest,Starter,C,82,246,0
HOU,Southwest,Bench,SG,75,223,1
HOU,Southwest,Bench,SF,77,228,3
HOU,Southwest,Bench,PF,80,236,1
GS,Southeast,Starter,SG,79,207,0
GS,Southeast,Starter,SF,81,228,4
GS,Southeast,Starter,PG,75,186,4
GS,Southeast,Starter,PF,79,234,3
GS,Southeast,Starter,C,83,242,1
GS,Southeast,Bench,SG,79,212,4
GS,Southeast,Bench,G,79,186,1
GS,Southeast,Bench,PG,79,184,2
GS,Southeast,Bench,PF,81,228,4
GS,Southeast,Bench,PF,81,242,0
GS,Southeast,Bench,SF,81,225,2
GS,Southeast,Bench,SF,79,228,0
CHA,Southwest,Starter,PG,73,173,1
CHA,Southwest,Starter,C,83,270,2
CHA,Southwest,Starter,SG,77,186,2
CHA,Southwest,Starter,PF,81,234,2
CHA,Southwest,Starter,SG,79,224,1
CHA,Southwest,Bench,PF,84,242,2
CHA,Southwest,Bench,PF,85,242,0
CHA,Southwest,Bench,SG,75,200,1
CHA,Southwest,Bench,SG,78,223,1
CHA,Southwest,Bench,PG,78,200,3
DET,Northwest,Starter,SF,79,244,1
DET,Northwest,Starter,SF,80,230,3
DET,Northwest,Starter,PG,75,210,2
DET,Northwest,Starter,PG,74,180,4
DET,Northwest,Starter,C,83,276,3
DET,Northwest,Bench,SG,74,204,0
DET,Northwest,Bench,PG,72,175,4
DET,Northwest,Bench,PF,82,232,0
DET,Northwest,Bench,F,83,244,2
DET,Northwest,Bench,PF,82,221,2
BKN,Central,Starter,PG,77,193,4
